"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %","Počet platných hlasov v mestách a mestských častiach","Podiel platných hlasov v mestách a mestských častiach v %","Počet platných hlasov v obciach","Podiel platných hlasov v obciach v %"
7,"Prešovský kraj",704,"Poprad",704,"Levoča",1,"Ivan","Korčok",6324,45.53,3141,44.81,3183,46.26
7,"Prešovský kraj",704,"Poprad",704,"Levoča",2,"Peter","Pellegrini",7565,54.46,3868,55.18,3697,53.73
7,"Prešovský kraj",704,"Poprad",706,"Poprad",1,"Ivan","Korčok",24883,51.42,16561,54.02,8322,46.91
7,"Prešovský kraj",704,"Poprad",706,"Poprad",2,"Peter","Pellegrini",23507,48.57,14091,45.97,9416,53.08
7,"Prešovský kraj",705,"Prešov",707,"Prešov",1,"Ivan","Korčok",43967,53.98,25421,57.42,18546,49.88
7,"Prešovský kraj",705,"Prešov",707,"Prešov",2,"Peter","Pellegrini",37483,46.01,18848,42.57,18635,50.11
7,"Prešovský kraj",705,"Prešov",708,"Sabinov",1,"Ivan","Korčok",9607,39.76,3388,42.23,6219,38.54
7,"Prešovský kraj",705,"Prešov",708,"Sabinov",2,"Peter","Pellegrini",14551,60.23,4634,57.76,9917,61.45
7,"Prešovský kraj",706,"Stará Ľubovňa",710,"Stará Ľubovňa",1,"Ivan","Korčok",8489,38.60,3438,44.76,5051,35.30
7,"Prešovský kraj",706,"Stará Ľubovňa",710,"Stará Ľubovňa",2,"Peter","Pellegrini",13499,61.39,4242,55.23,9257,64.69
7,"Prešovský kraj",707,"Stropkov",711,"Stropkov",1,"Ivan","Korčok",2871,31.67,1587,38.10,1284,26.21
7,"Prešovský kraj",707,"Stropkov",711,"Stropkov",2,"Peter","Pellegrini",6192,68.32,2578,61.89,3614,73.78
7,"Prešovský kraj",708,"Svidník",712,"Svidník",1,"Ivan","Korčok",3911,27.23,1851,30.03,2060,25.12
7,"Prešovský kraj",708,"Svidník",712,"Svidník",2,"Peter","Pellegrini",10450,72.76,4311,69.96,6139,74.87
7,"Prešovský kraj",709,"Vranov nad Topľou",713,"Vranov nad Topľou",1,"Ivan","Korčok",9129,28.56,3405,32.59,5724,26.60
7,"Prešovský kraj",709,"Vranov nad Topľou",713,"Vranov nad Topľou",2,"Peter","Pellegrini",22828,71.43,7041,67.40,15787,73.39
8,"Košický kraj",801,"Košice",802,"Košice I",1,"Ivan","Korčok",19692,62.89,19692,62.89,0,0.00
8,"Košický kraj",801,"Košice",802,"Košice I",2,"Peter","Pellegrini",11616,37.10,11616,37.10,0,0.00
8,"Košický kraj",801,"Košice",803,"Košice II",1,"Ivan","Korčok",21295,59.67,21295,59.67,0,0.00
8,"Košický kraj",801,"Košice",803,"Košice II",2,"Peter","Pellegrini",14390,40.32,14390,40.32,0,0.00
8,"Košický kraj",801,"Košice",804,"Košice III",1,"Ivan","Korčok",7347,55.65,7347,55.65,0,0.00
8,"Košický kraj",801,"Košice",804,"Košice III",2,"Peter","Pellegrini",5853,44.34,5853,44.34,0,0.00
8,"Košický kraj",801,"Košice",805,"Košice IV",1,"Ivan","Korčok",16248,58.45,16248,58.45,0,0.00
8,"Košický kraj",801,"Košice",805,"Košice IV",2,"Peter","Pellegrini",11549,41.54,11549,41.54,0,0.00
8,"Košický kraj",802,"Košice - okolie",806,"Košice - okolie",1,"Ivan","Korčok",24843,47.40,1414,44.87,23429,47.56
8,"Košický kraj",802,"Košice - okolie",806,"Košice - okolie",2,"Peter","Pellegrini",27567,52.59,1737,55.12,25830,52.43
8,"Košický kraj",803,"Michalovce",807,"Michalovce",1,"Ivan","Korčok",12661,30.67,7304,36.13,5357,25.43
8,"Košický kraj",803,"Michalovce",807,"Michalovce",2,"Peter","Pellegrini",28612,69.32,12909,63.86,15703,74.56
8,"Košický kraj",803,"Michalovce",809,"Sobrance",1,"Ivan","Korčok",2241,22.71,662,28.07,1579,21.03
8,"Košický kraj",803,"Michalovce",809,"Sobrance",2,"Peter","Pellegrini",7625,77.28,1696,71.92,5929,78.96
8,"Košický kraj",804,"Rožňava",808,"Rožňava",1,"Ivan","Korčok",8138,38.70,3796,47.16,4342,33.45
8,"Košický kraj",804,"Rožňava",808,"Rožňava",2,"Peter","Pellegrini",12888,61.29,4253,52.83,8635,66.54
8,"Košický kraj",805,"Spišská Nová Ves",801,"Gelnica",1,"Ivan","Korčok",3831,32.96,906,34.37,2925,32.55
8,"Košický kraj",805,"Spišská Nová Ves",801,"Gelnica",2,"Peter","Pellegrini",7789,67.03,1730,65.62,6059,67.44
8,"Košický kraj",805,"Spišská Nová Ves",810,"Spišská Nová Ves",1,"Ivan","Korčok",17054,45.33,9848,47.30,7206,42.89
8,"Košický kraj",805,"Spišská Nová Ves",810,"Spišská Nová Ves",2,"Peter","Pellegrini",20566,54.66,10972,52.69,9594,57.10
8,"Košický kraj",806,"Trebišov",811,"Trebišov",1,"Ivan","Korčok",11038,31.52,4854,35.19,6184,29.14
8,"Košický kraj",806,"Trebišov",811,"Trebišov",2,"Peter","Pellegrini",23970,68.47,8937,64.80,15033,70.85
